_Artist_ID,Biography,Start_Date_Disp,End_Date_Disp,Display_Name,First_Name,Last_Name,Nat_Culture_L2,Sort_Name,Artist_Code
332,,1952,,Francesco Clemente,Francesco,Clemente,Italian,"Clemente, Francesco",500116236
333,,1807,1890,Ann Marian Clifford,Ann Marian,Clifford,American,"Clifford, Ann Marian",
334,,1950,2003,Howard Clifford,Howard,Clifford,American,"Clifford, Howard",
335,,1940,,Chuck Close,Chuck,Close,American,"Close, Chuck",500031023
336,,1848,1926,William Baxter Palmer Closson,William Baxter Palmer,Closson,American,"Closson, William Baxter Palmer",500001829
337,,1816,1871,Edmund Coates,Edmund,Coates,American,"Coates, Edmund",
338,,1914,2008,Ruth Cobb,Ruth,Cobb,American,"Cobb, Ruth",
339,,1906,,Gifford Cochran,Gifford,Cochran,American,"Cochran, Gifford",
340,,ca. 1604,1870,Viviano (Circle Of) Codazzi,Viviano (Circle Of),Codazzi,Italian,"Codazzi, Viviano (Circle Of)",
341,,1800,1842,Charles Codman,Charles,Codman,American,"Codman, Charles",500003290
342,,1927,2013,Jean Cohen,Jean,Cohen,American,"Cohen, Jean",
343,"From collection file notes, found on typed index cards in an envelope addressed to Hugh, undated: &quot;E. Weymouth, Mass. Herring Run Pottery. 1962-Joint winnter $500 purchase prize, Ceramic National, Everson Museum, Syracuse, N.Y. ... Schoo, Michigal...one of the most outstading young potters in America.&quot;",1936,,Michael Cohen,Michael,Cohen,American,"Cohen, Michael",
344,,1935,,Harriet Goodwin Cohen,Harriet Goodwin,Cohen,American,"Cohen, Harriet Goodwin",
345,,1927,,David Cohen,David,Cohen,American,"Cohen, David",
346,,,,Mike Cohen,Mike,Cohen,,"Cohen, Mike",
347,,1927,2013,Jean Cohen (Attributed To),Jean,Cohen (Attributed To),American,"Cohen (Attributed To), Jean",
348,,1925,,James Coignard,James,Coignard,French,"Coignard, James",500089736
349,,1837,1892,J(oseph) Foxcroft Cole,J(Oseph) Foxcroft,Cole,American,"Cole, J(oseph) Foxcroft",
350,,1814,1858,Charles Octavius Cole,Charles Octavius,Cole,American,"Cole, Charles Octavius",
351,,1801,1848,Thomas Cole,Thomas,Cole,American (b. England),"Cole, Thomas",500028323
352,,,,John Coles,John,Coles,American,"Coles, John",
353,,1926,1982,John Ireland Collins,John Ireland,Collins,American,"Collins, John Ireland",
354,,1970,,Bonnie Collura,Bonnie,Collura,American,"Collura, Bonnie",500331566
355,,1832,1920,Samuel Colman,Samuel,Colman,American,"Colman, Samuel",500031860
356,,,,Maury Iii Colton,Maury Iii,Colton,American,"Colton, Maury Iii",
357,,1918,1991,Walter Condit,Walter,Condit,American,"Condit, Walter",
358,,1893,1970,Jay Hall Connaway,Jay Hall,Connaway,American,"Connaway, Jay Hall",500000605
359,,,,Thomas Connolly,Thomas,Connolly,American,"Connolly, Thomas",
360,,1776,1837,John Constable,John,Constable,English,"Constable, John",500115382
361,,1901,1980,Howard (Norton) Cook,Howard (Norton),Cook,American,"Cook, Howard (Norton)",500010422
362,,,,Alvin Cooke,Alvin,Cooke,American,"Cooke, Alvin",
363,,1850,1938,D.D. Coombs,D.D.,Coombs,American,"Coombs, D.D.",500283741
364,,1850,1938,D.D. Coombs,D.D.,Coombs,American,"Coombs, D.D.",500083859
365,,1738,1815,John Singleton Copley,John Singleton,Copley,American,"Copley, John Singleton",500009177
366,,1905,1964,Jon Corbino,Jon,Corbino,American,"Corbino, Jon",500008767
367,,1858,1925,Lovis Corinth,Lovis,Corinth,German,"Corinth, Lovis",500115384
368,,1903,1972,Joseph Cornell,Joseph,Cornell,American,"Cornell, Joseph",500003169
369,,1937,2012,Thomas Cornell,Thomas,Cornell,American,"Cornell, Thomas",
370,,1796,1875,Jean-Baptiste-Camille Corot,Jean-Baptiste-Camille,Corot,French,"Corot, Jean-Baptiste-Camille",500115390
371,,1888,1972,John Edward Costigan,John Edward,Costigan,American,"Costigan, John Edward",500025727
372,,1883,1969,Othon (Otakar) Coubine (Kubin),Othon (Otakar),Coubine (Kubin),French (b. Czechoslovakia),"Coubine (Kubin), Othon (Otakar)",
373,,,,Charles Counts,Charles,Counts,,"Counts, Charles",
374,,,,Bonnie Courtney,Bonnie,Courtney,,"Courtney, Bonnie",
375,,1904,1957,Miguel Covarrubias,Miguel,Covarrubias,Mexican,"Covarrubias, Miguel",500122721
376,,,,Alexander Coward,Alexander,Coward,American,"Coward, Alexander",
377,,1863,1920,Albert Scott Cox,Albert Scott,Cox,American,"Cox, Albert Scott",
378,,,,W.H.M. Cox,W.H.M.,Cox,,"Cox, W.H.M.",
379,,1906,1978,Ralston Crawford,Ralston,Crawford,American,"Crawford, Ralston",500029588
380,,1814,1857,Thomas Crawford,Thomas,Crawford,American,"Crawford, Thomas",500115277
381,,1885,1964,Giovan Battista Crema,Giovan Battista,Crema,Italian,"Crema, Giovan Battista",500132955
382,,1943,,Daphne Cummings,Daphne,Cummings,American,"Cummings, Daphne",
383,,1915,1975,Willard W(arren) Cummings,Willard W(Arren),Cummings,American,"Cummings, Willard W(arren)",
384,,1915,1975,Willard W. Cummings,Willard W.,Cummings,American,"Cummings, Willard W.",500048595
385,,1915,1975,Willard W Cummings,Willard W,Cummings,American,"Cummings, Willard W",500048595
386,,1915,1975,Willard W. Cummings,Willard W.,Cummings,American,"Cummings, Willard W.",500048595
387,,1862,1911,Alger V. Currier,Alger V.,Currier,American,"Currier, Alger V.",
388,,1897,1946,John Steuart Curry,John Steuart,Curry,American,"Curry, John Steuart",500115503
389,,1921,,George Curtis,George,Curtis,American,"Curtis, George",
390,,,,Dean Cushman,Dean,Cushman,American,"Cushman, Dean",
391,,1873,1945,Carl Gordon Cutler,Carl Gordon,Cutler,American,"Cutler, Carl Gordon",
392,,1914,1988,Charles Gordon Cutler,Charles Gordon,Cutler,American,"Cutler, Charles Gordon",
393,,1914,1971,Charles Cutler,Charles,Cutler,American,"Cutler, Charles",
394,,1865,1960,Leon Dabo,Leon,Dabo,American,"Dabo, Leon",500027049
395,,1864,1955,Charles Dahlgreen,Charles,Dahlgreen,American,"Dahlgreen, Charles",
396,,1868,,W.B. Dalton,W.B.,Dalton,English,"Dalton, W.B.",
397,,1911,2002,George Daniell,George,Daniell,American,"Daniell, George",
398,,1887,1979,Andrew Dasburg,Andrew,Dasburg,American (b. France),"Dasburg, Andrew",500019289
399,,,,Daughter Of Mrs. Eliza Reed Skeel,,Daughter Of Mrs. Eliza Reed Skeel,American,Daughter Of Mrs. Eliza Reed Skeel,
400,,1808,1879,Honore Daumier,Honore,Daumier,French,"Daumier, Honore",500117998
401,,1887,1964,Randall Davey,Randall,Davey,American,"Davey, Randall",500003739
402,,1862,1928,Arthur Davies,Arthur,Davies,American,"Davies, Arthur",
403,,1944,,Scott Davis,Scott,Davis,American,"Davis, Scott",500022233
404,,,,Raymond H. Davis,Raymond H.,Davis,American,"Davis, Raymond H.",
405,,,,Joseph H. Davis,Joseph H.,Davis,American,"Davis, Joseph H.",
406,,1920,1985,Gene Davis,Gene,Davis,American,"Davis, Gene",500012653
407,,1892,1964,Stuart Davis,Stuart,Davis,American,"Davis, Stuart",500115507
408,,1614,1676,Juan De Arellano,Juan,De Arellano,Spanish,"De Arellano, Juan",500005830
409,,1930,2007,Roy De Forest,Roy,De Forest,American,"De Forest, Roy",
410,,1856,1934,Franklin De Haven,Franklin,De Haven,American,"De Haven, Franklin",500016212
411,,1930,2012,Raoul De Keyser,Raoul,De Keyser,Belgian,"De Keyser, Raoul",500085469
412,,1911,,Eleanor De Laittre,Eleanor,De Laittre,American,"De Laittre, Eleanor",500054151
413,,ca. 1911,,Michael De Lisio,Michael,De Lisio,American,"De Lisio, Michael",500102513
414,,1922,1993,"Robert De Niro, Sr.",Robert,"De Niro, Sr.",American,"De Niro, Sr., Robert",500002287
415,,1880,1936,Dey De Ribcowsky,Dey,De Ribcowsky,American (b. Bulgaria),"De Ribcowsky, Dey",
416,,1947,,Ruth Dealy,Ruth,Dealy,American,"Dealy, Ruth",
417,,1939,1993,Peter Dean,Peter,Dean,American,"Dean, Peter",500027530
418,,,,Degrazia,,Degrazia,,Degrazia,
419,,1895,1968,Adolf Dehn,Adolf,Dehn,American,"Dehn, Adolf",500009264
420,,1798,1863,Eugene Delacroix,Eugene,Delacroix,French,"Delacroix, Eugene",500115509
421,,1885,1941,Robert (-Victor-Felix) Delaunay,Robert (-Victor-Felix),Delaunay,French,"Delaunay, Robert (-Victor-Felix)",
422,,1793,1848,Charles Claude Delaye,Charles Claude,Delaye,French,"Delaye, Charles Claude",500006610
423,,,,S Dell,S,Dell,English,"Dell, S",
424,,1897,1994,Paul Delvaux,Paul,Delvaux,French (b. Belgium),"Delvaux, Paul",500017335
425,,1896,1984,Joseph Demartini,Joseph,Demartini,American,"Demartini, Joseph",
426,,1933,,Deborah Demoulpied,Deborah,Demoulpied,American,"Demoulpied, Deborah",
427,,,,Denby Stoneware,,Denby Stoneware,English,Denby Stoneware,
428,,1870,1943,Maurice Denis,Maurice,Denis,French,"Denis, Maurice",500032673
429,,1880,1954,Andre Derain,Andre,Derain,French,"Derain, Andre",500004535
430,,1946,,David Dewey,David,Dewey,American,"Dewey, David",500091204
431,,1933,,Mark di Suvero,Mark,di Suvero,American (b. China),"di Suvero, Mark",500013375
432,,1944,,Martha Diamond,Martha,Diamond,American,"Diamond, Martha",500115011
433,,1891,1930,Preston Dickinson,Preston,Dickinson,American,"Dickinson, Preston",500124280
