_Objects_1_ID,File_Name,IsPrimary,View_1,height,width
1925,1964.185_001,1,,4335,5257
1927,1964.187_001,1,,8307,6492
4346,,1,,0,0
1960,1965.034_001,1,,2349,2889
5186,2003.004_002,0,2003.004_002_cd.jpg,7437,6313
5274,,1,,0,0
3879,1990.019_001,1,primary,5351,6759
5266,,1,,0,0
2885,1976.014_002,0,1976.014_002_cd.jpg,890,1127
5268,,1,,0,0
2342,1973.045_001,1,,2205,2757
661,1953.023_001,1,,3249,2197
3881,1990.021_001,1,primary,4801,4386
5267,,1,,0,0
5269,,1,,0,0
7256,2011.044_001,1,,5600,4452
7253,2011.041_001,1,,3000,2361
7249,2011.038_001,1,,6666,4992
5276,,1,,0,0
5270,,1,,0,0
2341,1973.044_001,1,,2335,2919
2340,1973.043_001,1,,3229,2583
2338,1973.041_001,1,,3281,2625
2337,1973.040_001,1,,3150,2520
2336,1973.039_001,1,,3875,3100
2335,1973.038_001,1,,2100,2626
2314,1973.017_001,1,,2205,2757
2313,1973.016_001,1,,2184,2731
2312,1973.015_001,1,,2233,2792
2311,1973.014_001,1,,3544,2835
2030,1968.015_001,1,,2142,2679
254,031.1998_001,1,,3150,2520
247,030.1998_001,1,,2415,3020
239,029.1998_001,1,,2100,2626
232,028.1998_001,1,,3045,2436
216,026.1998_001,1,,2205,2757
209,025.1998_001,1,,2226,2784
201,024.1998_001,1,,2310,2889
193,023.1998_001,1,,3150,2520
185,022.1998_001,1,,3098,2478
6482,2013.225_001,1,recto,6808,4845
177,021.1998_001,1,,2966,2373
169,020.1998_001,1,,2730,2184
8274,2014.031_001,1,,1450,2049
4003,1993.004_001,1,,6646,8869
3616,1985.007_001,1,,8984,6732
6219,,1,,0,0
5570,2006.065_006,0,2006.065_006_cd.jpg,5412,7216
6672,368.2008_001,1,,6732,8984
9150,2015.216_001_fm.jpg,1,,0,0
9149,2015.215_001_fm.jpg,1,,0,0
3735,1986.079_001,1,,7747,7616
9238,2015.229_001_fm.jpg,1,,0,0
30,2013.026_001,1,,5546,4438
5275,,1,,0,0
3325,1982.103_001_fm.jpg,1,primary,0,0
9239,2015.230_001_fm.jpg,1,,0,0
5271,,1,,0,0
3062,1980.022_001,1,primary,4642,6023
5272,,1,,0,0
3647,,0,,0,0
1697,1963.164_002,0,1963.164_002_cd.jpg,459,2545
1060,1959.083_002,0,1959.083_002_cd.jpg,2340,3072
2620,1974.087_006,0,verso,5412,7216
1591,1963.057_001,1,primary,5412,7216
3901,1991.015_001,1,,7974,5900
3902,1991.016_001,1,,7956,5943
3800,1988.026_001,1,,6732,8984
1003,1958.069_002,0,1958.069_002_cd.jpg,1188,1794
161,019.1998_001,1,,1995,2495
6535,,1,,0,0
6143,2008.221_001,1,,7230,5428
2316,1973.019_001,1,primary,5807,4639
6556,001.2009_001,1,,6103,4701
2721,1975.071_001,1,primary,4315,5030
8055,2013.051.A_001,0,,0,0
5044,,1,,0,0
5045,,1,,0,0
5046,,1,,0,0
5047,,1,,0,0
5048,,1,,0,0
5049,,1,,0,0
5050,,1,,0,0
5051,,1,,0,0
5052,,1,,0,0
5053,,1,,0,0
5078,,1,,0,0
5252,,1,,0,0
5253,,1,,0,0
5254,,1,,0,0
5279,,1,,0,0
1437,1961.007_001,1,,6321,4984
720,1954.076_004,0,1954.076_004_cd.jpg,3229,5846
720,1954.076_002,0,1954.076_002_cd.jpg,6130,7663
6632,331.2008_001,1,,6732,8984
6861,043.2009_003,0,043.2009_003_cd.jpg,8010,6408
